Country,Agency (native language),Abbreviation (native language),Agency (english),Abbreviation (english),Direct Parent,url description,url,url 2 description,url 2,url 3 description,url 3,url 4 description,url 4,url 5 description,url 5,url 6 description,url 6,url 7 description,url 7,Description
CN,,,State Council,SC,NPC,,,,,,,,,,,,,,,"The State Council is the top administrative body of the People’s Republic of China (PRC), the state founded and ruled by the CCP, and it effectively functions as the national cabinet of the central government. The main difference with other countries is that the State Council oversees the implementation of policies decided by the CCP, rather than formulating its own national policy agenda. However, the State Council has oversight of key economic agencies, and its implementation role can enable meaningful policy influence through interpreting central directives, drafting laws and regulations, issuing administrative regulations, and formulating development plans and government budgets. The State Council is led by the Premier, who is assisted by four Vice Premiers and five State Councilors (including the State Council Secretary-General), who together form the State Council executive, which meets two to three times a month to discuss major government work and draft laws and regulations. The Premier and an Executive Vice Premier sit on the PSC, and the three other Vice Premiers hold Politburo seats. A plenary meeting of the full State Council is held every six months. It includes the leaders of all its constituent departments, which currently comprise 24 ministries and commissions, the People’s Bank of China, and the National Audit Office. The PRC President nominates the Premier, who is then approved by the National People’s Congress (NPC) at the Two Sessions following a Party Congress, for a maximum of two five-year terms. The Premier then nominates the rest of the State Council, whose members are appointed by the President following NPC approval. Despite such procedures, these appointments are decided by top leaders in secret negotiations. A major political project of Xi’s rule has been to erode the institutional influence of the Premier and the State Council, which had traditionally played a leading role in economic policymaking, especially under Premiers Zhu Rongji (1998–2003) and Wen Jiabao (2003–2013).

 

The State Council also oversees economic research organizations. The State Council Development Research Center (DRC) is a ministerial-level public institution that researches a wide range of domestic and international economic issues and advises both the State Council and CCP Central Committee on economic policies. Its influence has declined, however, in line with Xi’s steady marginalization of the broader State Council. The State Council Counselors’ Office is a deputy ministerial-level agency that provides research and feedback on government policies, including but not limited to the economy, although it has less influence than the DRC."
CN,,,National People's Congress,NPC,,,,,,,,,,,,,,,,
,中国共产党中央委员会,,CCP Central Committee,CCP,,Comprehensive News Report （综合报导）,http://cpc.people.com.cn/GB/64093/64387/index.html,Party Documents （中央文件）,http://cpc.people.com.cn/GB/67481/431391/index.html,High Level Movements (高层动态）,http://cpc.people.com.cn/GB/64093/64094/index.html,High Level Movements (高层动态）,http://cpc.people.com.cn/GB/64093/64094/index.html,Anti- Corruption (反腐,http://fanfu.people.com.cn/,Specialized Columns（专题专栏）,http://cpc.people.com.cn/GB/67481/,Exclusive Articles（独家稿件）,http://cpc.people.com.cn/GB/164113/index.html,"The Central Committee of the Chinese Communist Party, officially the Central Committee of the Communist Party of China, is the highest organ when the national congress is not in session and is tasked with carrying out congress resolutions, directing all party work, and representing the Chinese Communist Party (CCP) externally. It is currently composed of 205 full members and 171 alternate members (see list). Members are nominally elected once every five years by the National Congress of the Chinese Communist Party. In practice, the selection process is done privately, usually through consultation of the CCP's Politburo and its corresponding Standing Committee.[1]

The Central Committee is, formally, the ""party's highest organ of authority"" when the National Congress is not in a plenary session. According to the CCP's constitution, the Central Committee is vested with the power to elect the General Secretary and the members of the Politburo and its Standing Committee, as well as the Central Military Commission. It endorses the composition of the Secretariat and the Central Commission for Discipline Inspection. It also oversees the work of various executive national organs of the CCP. The administrative activities of the Central Committee are carried out by the Central Committee's General Office. The General Office forms the support staff of the central organs that work on the Central Committee's behalf in between plenary sessions (plenums).

The Committee usually convenes at least once a year at a plenum, and functions as a top forum for discussion about relevant policy issues. The committee operates, however, on the principle of democratic centralism; i.e., once a decision is made, the entire body speaks with one voice. The role of the Central Committee has varied throughout history. While it generally exercises power through formal procedures defined in the party constitution, the ability for it to affect outcomes of national-level personnel decisions is limited, as that function has generally been, in practice, carried out by the Politburo and retired party elders who retain influence. Nonetheless, Central Committee plenums function as venues whereby policy is discussed, fine-tuned, and publicly released in the form of ""resolutions"" or ""decisions""."
CN,中国人民政治协商会议,,Chinese People's Political Consultative Conference,CPPCC,,Important News（要闻）,http://www.cppcc.gov.cn/zxww/newcppcc/zxyw/index.shtml,Leadership Speeches （领导讲话）,http://www.cppcc.gov.cn/zxww/newcppcc/ldjh/index.shtml,Notices and Announcements（通知公告）,http://www.cppcc.gov.cn/zxww/newcppcc/tzgg/index.shtml,Personnal Affairs（人事任免）,http://www.cppcc.gov.cn/zxww/newcppcc/rsrm/index.shtml,English News,http://en.cppcc.gov.cn/news.html,,,,,"The Chinese People's Political Consultative Conference (CPPCC) is a political advisory body in the People's Republic of China and a central part of the Chinese Communist Party (CCP)'s united front system. Its members advise and put proposals for political and social issues to government bodies. However, the CPPCC is a body without real legislative power. While consultation does take place, it is supervised and directed by the CCP.

The organizational hierarchy of the CPPCC consists of a National Committee and regional committees. Regional committees extend to the provincial, prefecture, and county level. According to the charter of the CPPCC, the relationship between the National Committee and the regional committees is one of guidance and not direct leadership. However, an indirect leadership exists via the United Front Work Department at each level. The National Committee of the Chinese People's Political Consultative Conference typically holds a yearly meeting at the same time as plenary sessions of the National People's Congress (NPC). The CPPCC National Committee and NPC plenary sessions are collectively called the Two Sessions.

The body traditionally consists of delegates from the CCP and its people's organizations, eight legally permitted political parties subservient to the CCP, as well as nominally independent members. The CPPCC National Committee is chaired by a member of the Politburo Standing Committee of the CCP, who is assisted by several vice chairs and a secretary-general. The CPPCC is intended to be more representative of a broader range of people than is typical of government office in the People's Republic of China, including a broad range of people from both inside and outside the CCP. The composition of the members of the CPPCC changes over time according to national strategic priorities."
CN,中共中央全面深化改革委员会,,CCP Central Comprehensively Deepening Reforms Commission,CCDRC,CCP,(outdated - last post September 2022),http://cpc.people.com.cn/GB/64162/448539/index.html,,,,,,,,,,,,,"The CCP Central Comprehensively Deepening Reforms Commission (CCDRC) is arguably the country’s most influential policymaking, coordination, and implementation body, as it is the institution that Party leader Xi Jinping uses more than any other to implement top-level policy changes to the economic system (see “Economy and Trade” and other sections). The CCDRC has discussed several policy documents related to the science and technology system, including reforms to research evaluation mechanisms and innovation progress indicators and programs to focus on key technologies, promote research commercialization, incentivize talent, improve talent, and reduce waste. Xi is the CCDRC Director, and the Premier, Chairman of the Chinese People’s Political Consultative Conference, and CCP Secretariat First Secretary have served as Deputy Directors. The CCDRC’s current membership is unclear, but it is thought to include around 20 deputy national-level leaders.

The party announced the establishment of the Central Comprehensively Deepening Reforms Leading Group at the Third Plenum of the 18th Central Committee in November 2013, and Xi chaired its first meeting in January 2014. The party upgraded this leading group to a formal commission in the party-state reforms of March 2018. Xi has used the CCDRC more than any other institution to implement “top-level design” and centralize policy decision-making across dozens of lower-level party agencies and state ministries. It meets about seven times annually to discuss reforms in six policy areas: the economic system and ecological civilization, democracy and the legal system, the cultural system, the social system, the party-building system, and the discipline and inspection system. A CCDRC “special group,” headed by a ministerial-level official, leads the commission’s detailed policy work in each area. The CCDRC focuses on far more than just economic policy, but it has played a key role in Xi’s efforts to reform the Chinese economic system with respect to markets, state-owned enterprises, technological innovation, high-end manufacturing, and environmental sustainability. Xi is the CCDRC Director, and the Premier, the Chairman of the Chinese People’s Political Consultative Conference (CPPCC), and the CCP Secretariat First Secretary have served as Deputy Directors. The CCDRC’s current membership is unclear, but it is thought to include around 20 deputy national-level leaders from the Politburo, State Council, and CPPCC."
CN,中共中央军民融合发展委员会,,CCP Central Military-Civil Fusion Development Commission,CMCFDC,,,N/A,,,,,,,,,,,,,"The CCP Central Military-Civil Fusion Development Commission (CMCFDC) is responsible for making, coordinating, and implementing policies related to the integration of civilian technology into the Chinese military. Formed in January 2017, the body replaced several leading groups with a similar focus. At the CMCFDC’s first meeting in June 2017, Xi emphasized the importance of technological innovation in making China a “self-reliant” great power. Xi serves as the CMCFDC Director, and the Premier, CCP Secretariat First Secretary, and Executive Vice Premier serve as Deputy Directors, a leadership lineup that significantly elevated the political priority of dual-use technology compared with previous leading groups. The Executive Vice Premier also heads the CMCFDC General Office, assisted by a ministerial-level Executive Deputy Director who runs day-to-day policy operations. Important institutions in military-civil fusion include several defense-related central state-owned enterprises (SOEs) and the Central Military Commission’s Equipment Development Department (which houses the China Manned Space Agency) and Science and Technology Committee, both of which were founded following Xi’s sweeping military reforms in 2015 (see “Military” section for more details.)"
CN,中共中央网信办,,CCP Central Cyberspace Affairs Commission,CCAC,,,,,,,,,,,,,,,,"The CCP Central Cyberspace Affairs Commission (CCAC) is the policy formulation, coordination, and implementation body that holds sway on censorship, propaganda, security, and technology related to the internet. Xi established the CCAC as a leading group in February 2014 and upgraded it to a commission in March 2018. He served as the CCAC Director until he reportedly handed over the reins to his right-hand man Cai Qi in 2023."
CN,中国国家互联网信息办公室,,Cyberspace Administration of China,CAC,CCAC,Leadership Activity（办领导动态）,https://www.cac.gov.cn/wxzw/bgs/blddt/A09370102index_1.htm,Cyberspace Announcements（网信发布）,https://www.cac.gov.cn/wxzw/wxfb/A093702index_1.htm,Policies and Laws（政策法规）,https://www.cac.gov.cn/wxzw/zcfg/A093703index_1.htm,Internet Content Administration（互联网内容管理）,https://www.cac.gov.cn/wxzw/hlwnrgl/A093704index_1.htm,Qinglang Program Special Activities（“清朗”系列专项行动）,https://www.cac.gov.cn/wxzw/qinglang/A093711index_1.htm,Internet Security（网络安全）,,,,"The Cyberspace Administration of China (CAC) is the ministerial-level General Office of CCAC. The CAC has emerged as an unusually prominent policy actor, compared with the General Offices of other central party commissions, because it simultaneously functions under both the CCP Central Committee and the State Council as the country’s chief internet regulator. Its original remit to manage online content and enforce online censorship has been expanded to include rulemaking and punishment powers over cybersecurity (including network equipment and security reviews), data security (including the export of important data), and online privacy (including the export of personal information). The CAC usually plays the leading role in Beijing’s regulatory response to emerging online technologies, such as AI chatbots, deepfakes, livestreaming, and recommendation algorithms. These changes have transformed the CAC into a super-regulator with potential jurisdiction over virtually all online activity. The most infamous display of its formidable powers came in mid-2021, when the CAC investigated the initial public offering (IPO) of rideshare giant DiDi on the New York Stock Exchange, retroactively declaring the need for a (now mandatory) cybersecurity review, during which time it blocked the app and suspended new registrations. DiDi eventually delisted. The CAC also controls the China Internet Investment Fund, which owns minority stakes, or so-called golden shares, acquired under government pressure from in top Chinese tech firms such as ByteDance and Weibo. The National Radio and Television Administration (NRTA), a ministerial-level agency directly under the State Council that is led by the CCP Propaganda Department, retains oversight of approval for new audiovisual products such as movies and television shows, but the CAC retains the authority to censor such content online. The CAC usually plays the leading role in Beijing’s regulatory response to emerging online technologies, such as AI chatbots, deepfakes, livestreaming, and recommendation algorithms."
CN,中共中央科学技术委员会,,CCP Central Science and Technology Commission,CSTC,,,,,,,,,,,,,,,,"The top institution focused specifically on science and technology policymaking is the CCP Central Science and Technology Commission (CSTC), which was announced as part of the party-state institutional reforms of March 2023. The CSTC is intended to strengthen party leadership over science and technology policies and has responsibility for decision-making, discussion, and coordination of work in these areas. More specifically, it is charged with building the national innovation system; reforming the science and technology system; researching major policies for national science and technology development; resolving major strategic and directional issues in the science and technology sphere; determining strategic science and technology missions and major research projects for the national government; coordinating the layout of strategic science and technology forces, including national laboratories; and coordinating the development of civil-military fusion in science and technology. The CSTC General Office resides in the Ministry of Science and Technology, helping to elevate the ministry’s bureaucratic power and political influence.

 

The CSTC gained responsibility for the National Science and Technology Advisory Committee (NSTAC), a secretive group of experts convened by the party in 2019 to advise the top leadership on major national policies, and the National Science and Technology Ethics Committee (NSTEC), another enigmatic expert group established in 2019–2020 to strengthen professional norms, governance mechanisms, institutional supervisions, and the legal and regulatory framework related to scientific ethics. The CSTC also absorbed the former CCP Central Leading Group for the Construction of National Laboratories, National Leading Group for Science and Technology, National Leading Group for Science and Technology System Reform and Innovation System Construction, and National Leading Group for Medium-to-Long-Term Science and Technology Development Planning Work. These changes significantly weakened the State Council’s role in science and technology policy relative to the central party apparatus led by Xi."
CN,科学技术部,,Ministry of Science and Technology,MOST,SC,,,,,,,,,,,,,,,"The Ministry of Science and Technology (MOST) is the constituent department of the State Council that oversees science and technology in China. Its main responsibilities include national plans for science and technology, innovation-driven development, and basic research; science and technology system reform and national innovation system construction; major national basic research and applied basic research; major national science and technology projects; national laboratories; regional science and technology development; the national technology transfer system; international science and technology cooperation; and the creation of a unified mechanism for managing and evaluating national science and technology projects. MOST was empowered in the March 2023 institutional reforms to focus more on these core missions of vital national interest, shedding its responsibilities for rural science and technology, science and technology for social development, high-tech industrial development, and foreign talent management. MOST administers the deputy ministerial-level National Natural Science Foundation of China, a State Council public institution that allocates over US$5 billion annually to thousands of scientific research projects that advance Beijing’s policy goals, and the deputy ministerial-level Science and Technology Daily, a newspaper focusing on science and technology issues. MOST may not be involved in regulating the technology industry, but it is set to become a more influential player in science and technology policy because it will host the CSTC General Office.

 

MOST may not be involved in regulating the technology industry, but it is set to become a more influential player in science and technology policy because it will host the CSTC General Office."
